code_station,libelle_support,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,mnemo_remarque,limite_quantification,libelle_qualification
03011780,Eau,2017-01-11,1506,Glyphosate,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-01-11,1907,AMPA,0.25,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-03-14,1907,AMPA,0.2,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-03-14,1506,Glyphosate,0.11,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-05-16,1907,AMPA,0.69,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-05-16,1506,Glyphosate,0.21,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-07-12,1506,Glyphosate,0.06,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-07-12,1907,AMPA,0.38,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-09-14,1907,AMPA,0.4,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-09-14,1506,Glyphosate,0.22,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-11-14,1506,Glyphosate,0.12,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2017-11-14,1907,AMPA,0.31,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-01-12,1506,Glyphosate,0.04,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-01-12,1907,AMPA,0.1,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-03-14,1907,AMPA,0.13,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-03-14,1506,Glyphosate,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-05-24,1907,AMPA,0.83,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-05-24,1506,Glyphosate,0.36,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-07-17,1907,AMPA,0.75,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-07-17,1506,Glyphosate,0.06,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-09-14,1907,AMPA,0.59,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-09-14,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03011780,Eau,2018-11-20,1907,AMPA,0.33,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03011780,Eau,2018-11-20,1506,Glyphosate,0.06,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012450,Eau,2018-01-02,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2018-01-02,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2018-03-22,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2018-03-22,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2018-05-02,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2018-05-02,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2018-07-02,1506,Glyphosate,0.04,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012450,Eau,2018-07-02,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012450,Eau,2019-03-04,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012450,Eau,2019-03-04,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012450,Eau,2019-05-02,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012450,Eau,2019-05-02,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012450,Eau,2019-11-04,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012450,Eau,2019-11-04,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2018-01-02,1506,Glyphosate,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012660,Eau,2018-01-02,1907,AMPA,0.08,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012660,Eau,2018-03-01,1907,AMPA,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012660,Eau,2018-03-01,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012660,Eau,2018-05-02,1506,Glyphosate,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012660,Eau,2018-05-02,1907,AMPA,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012660,Eau,2018-07-02,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012660,Eau,2018-07-02,1506,Glyphosate,0.13,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012660,Eau,2018-09-03,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012660,Eau,2018-09-03,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012660,Eau,2018-11-05,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012660,Eau,2018-11-05,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012660,Eau,2019-03-04,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2019-03-04,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2019-05-02,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2019-05-02,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2019-09-02,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2019-09-02,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012660,Eau,2019-11-04,1907,AMPA,0.12,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03012660,Eau,2019-11-04,1506,Glyphosate,0.1,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03012680,Eau,2015-01-13,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-01-13,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-03-10,1506,Glyphosate,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-03-10,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-05-19,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-05-19,1506,Glyphosate,0.19,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-07-07,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-07-07,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-09-08,1907,AMPA,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-09-08,1506,Glyphosate,0.13,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-11-03,1907,AMPA,0.07,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-11-03,1506,Glyphosate,0.08,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-02-05,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-02-05,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-04-02,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-04-02,1506,Glyphosate,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-06-13,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-06-13,1506,Glyphosate,0.09,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-08-02,1907,AMPA,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-08-02,1506,Glyphosate,0.08,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-10-02,1907,AMPA,0.49,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-10-02,1506,Glyphosate,1.1,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-12-03,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
